envelope_id,envelope_name,acc_id,envelope_budget_amount,envelope_current_balance,envelope_date
1,Eating Out,11,454,242,2022-05-26
2,Cars,6,384,279,2022-12-07
3,Books,18,491,-94,2022-08-17
4,Eating Out,21,353,21,2022-08-03
5,Books,9,315,-55,2022-11-05
6,Games,17,456,275,2022-07-28
7,Food,8,432,281,2022-10-20
8,Gas,19,399,33,2022-09-13
9,Charity,12,442,255,2022-07-23
10,Charity,4,343,121,2022-09-27
11,Toys,5,411,273,2023-02-28
12,Books,4,386,224,2022-09-21
13,blank,20,470,91,2022-07-06
14,Charity,6,364,138,2022-05-09
15,Food,22,386,103,2023-01-04
16,Charity,8,413,229,2022-12-23
17,Secret,25,382,227,2022-04-25
18,Charity,20,393,42,2022-09-29
19,Charity,24,379,305,2023-02-25
20,Party,22,329,255,2022-12-30
21,Books,5,362,44,2023-01-09
22,Cars,5,321,-96,2023-01-11
23,Groceries,3,386,-19,2022-10-26
24,Games,22,457,271,2022-10-03
25,Eating Out,3,395,334,2023-02-02
26,Secret,6,351,276,2022-08-18
27,blank,1,393,-57,2022-07-25
28,Party,12,488,341,2023-01-15
29,,5,373,100,2022-04-19
30,blank,14,467,118,2023-02-05
31,Toys,22,452,410,2022-04-23
32,Eating Out,11,477,373,2022-09-20
33,blank,22,444,385,2022-12-01
34,Gas,20,317,197,2022-05-01
35,Groceries,19,465,26,2022-06-01
36,,7,335,256,2022-05-12
37,Groceries,10,463,451,2022-12-17
38,Games,23,413,133,2022-12-20
39,,14,462,190,2022-08-08
40,Party,7,343,42,2023-01-13
41,blank,9,300,-59,2023-02-24
42,Groceries,7,436,-40,2023-04-05
43,Eating Out,6,448,60,2022-11-07
44,Groceries,6,428,298,2022-06-04
45,Games,8,346,-44,2023-03-09
46,blank,7,428,-95,2022-08-08
47,Groceries,16,318,101,2023-01-22
48,blank,14,300,275,2023-02-12
49,Party,4,440,-69,2022-12-31
50,Books,8,354,347,2022-08-05
51,,23,329,160,2022-12-25
52,Secret,13,378,163,2023-02-10
53,Eating Out,18,437,-73,2023-02-27
54,Eating Out,24,476,223,2022-06-12
55,Secret,25,375,-11,2022-07-15
56,Eating Out,6,420,159,2022-09-20
57,Gas,15,310,175,2022-04-26
58,Gas,25,300,100,2022-08-11
59,Secret,6,333,54,2022-08-31
60,Cars,10,493,284,2022-06-21
61,Party,19,448,257,2022-10-16
62,Cars,19,431,336,2022-10-25
63,Secret,9,485,217,2023-01-14
64,Party,17,402,85,2022-05-20
65,,4,368,200,2023-04-13
66,Books,4,411,72,2023-03-12
67,Toys,23,480,25,2023-02-12
68,Games,6,406,375,2023-03-09
69,Groceries,18,481,208,2022-06-01
70,Gas,11,427,-21,2023-01-08
71,Secret,5,477,-3,2023-03-24
72,Groceries,25,421,-95,2022-08-04
73,Party,18,479,-45,2023-04-08
74,Books,23,356,152,2023-01-06
75,Books,10,442,165,2023-01-14
76,Gas,8,382,283,2022-07-11
77,Groceries,1,363,81,2022-05-14
78,Food,12,342,193,2022-10-02
79,Food,16,449,335,2022-08-28
80,blank,8,317,145,2022-05-09
81,blank,22,452,412,2022-06-12
82,Eating Out,17,357,162,2022-07-04
83,Secret,15,366,211,2022-04-30
84,Gas,2,471,316,2023-04-16
85,Charity,16,333,-94,2023-03-06
86,Party,15,408,-26,2022-04-25
87,blank,15,305,129,2023-03-04
88,Secret,16,457,116,2022-05-21
89,Party,22,444,53,2022-08-19
90,Toys,6,407,-55,2022-12-19
91,Party,2,301,145,2022-06-01
92,blank,9,347,235,2022-05-26
93,blank,2,315,20,2022-08-07
94,Eating Out,18,356,155,2022-11-14
95,Games,19,348,137,2022-06-16
96,Cars,12,403,228,2022-09-14
97,Games,16,384,-65,2022-09-09
98,Books,12,382,-58,2022-07-10
99,Games,19,381,151,2022-12-02
100,blank,1,496,130,2022-08-08
101,Gas,12,437,250,2023-02-07
102,blank,10,421,139,2022-10-14
103,Charity,21,474,-33,2022-09-01
104,Toys,21,477,-52,2022-12-26
105,Games,14,451,332,2022-07-11
106,Cars,3,496,139,2022-08-23
107,Cars,8,356,-88,2022-05-23
108,,19,330,44,2022-11-08
109,Party,4,416,-80,2022-09-05
110,,15,358,58,2023-01-16
111,Cars,1,418,-11,2022-12-26
112,Gas,16,340,58,2023-02-10
113,,8,357,-32,2023-03-08
114,Charity,2,352,27,2022-05-10
115,Food,19,316,183,2022-10-08
116,,4,426,114,2022-06-09
117,Gas,12,337,288,2023-03-26
118,Gas,13,344,123,2022-07-05
119,,10,301,-28,2022-08-25
120,Books,21,423,253,2022-07-08
121,Gas,23,309,295,2022-11-11
122,Cars,5,400,-34,2022-05-15
123,Cars,13,424,219,2023-02-09
124,Gas,13,335,198,2022-09-21
125,Party,7,439,151,2022-09-20
126,Secret,11,490,476,2022-06-08
127,Charity,15,334,210,2022-09-03
128,,1,331,-7,2022-09-03
129,Gas,8,362,284,2023-03-14
130,Groceries,2,429,400,2022-10-13
131,Secret,9,317,173,2022-10-06
132,Eating Out,3,487,0,2022-08-26
133,Charity,18,418,291,2023-03-10
134,Food,23,440,275,2022-06-22
135,Groceries,21,441,181,2022-12-13
136,Games,24,444,-81,2022-07-02
137,,9,374,352,2022-07-31
