goal_id,goal_name,acc_id,goal_amount,goal_current_balance,goal_start_date,goal_end_date
1,Diamond,2,1342,553,2021-08-19,2022-08-29
2,,10,1536,1093,2022-01-21,2022-12-05
3,Disneyland,11,1203,391,2022-03-29,2022-07-13
4,New Bike,24,1546,763,2021-08-14,2023-01-01
5,Food Trip,14,1166,561,2021-12-22,2022-09-18
6,Disneyland,21,1557,328,2022-04-17,2022-12-23
7,Travel,5,1536,1395,2021-12-01,2023-03-26
8,New Bike,17,1570,918,2021-08-25,2022-05-22
9,Move Home,9,1733,336,2022-02-08,2022-10-04
10,New Bike,23,1945,1655,2022-01-12,2023-03-15
11,New PC,4,1226,829,2021-11-22,2023-03-01
12,,20,1514,443,2021-08-13,
13,Car,4,1760,245,2021-09-04,2022-12-18
14,Travel,21,1957,1178,2021-12-12,2022-10-13
15,Trip,5,1081,663,2021-11-02,2022-10-24
16,Disneyland,19,1645,846,2021-12-10,2022-10-20
17,,14,1902,717,2021-07-08,2022-09-03
18,Move Home,17,1418,268,2021-05-30,2022-05-03
19,Travel,18,1984,1662,2021-11-02,2023-01-19
20,Travel,22,1076,699,2021-07-24,2023-04-03
21,New Bike,23,1665,546,2021-09-20,2022-11-01
22,,20,1033,56,2022-01-23,2022-04-19
23,Car,3,1623,156,2022-02-13,2022-07-28
24,Trip,1,1793,1274,2021-07-06,2022-09-19
25,Car,24,1468,1076,2022-04-13,2023-03-14
26,Food Trip,3,1331,984,2021-08-25,
27,Disneyland,13,1645,298,2021-07-24,2022-12-21
28,New Bike,14,1087,150,2021-11-27,
29,Diamond,6,1856,1456,2021-11-05,2022-09-18
30,New Console,3,1929,949,2021-10-26,2023-01-12
31,,1,1142,846,2022-03-01,2022-12-15
32,New Bike,15,1517,1021,2022-01-19,2023-03-05
33,New Boat,21,1559,1226,2021-05-28,2023-03-11
34,New Console,12,1179,388,2022-02-10,2023-01-24
35,Trip,2,1916,306,2022-02-28,2022-12-15
36,New Boat,5,1503,120,2022-03-02,2022-09-02
37,Diamond,2,1821,1131,2022-02-12,
38,Disneyland,13,1131,1079,2022-03-10,2022-06-06
39,,1,1847,1230,2021-10-29,2022-07-24
40,New PC,23,1886,1372,2021-09-16,2022-04-23
41,,1,1673,1068,2021-10-02,2022-10-08
42,New Bike,1,1492,605,2021-09-17,2022-05-11
43,,13,1873,879,2022-02-16,2022-07-05
44,Travel,20,1854,813,2021-10-07,2022-11-18
45,New PC,14,1158,651,2022-03-24,2022-09-28
46,Trip,12,1632,457,2022-04-13,2022-11-18
47,New Bike,4,1908,215,2022-02-01,2023-03-02
48,Trip,7,1090,637,2022-03-12,
49,New Bike,20,1285,724,2021-08-23,2023-01-26
50,House,6,1485,639,2022-01-13,2023-02-24
51,Car,3,1648,97,2022-02-08,2023-04-03
52,Food Trip,4,1337,828,2021-07-06,2022-04-28
53,New Boat,6,1356,518,2021-10-28,2022-09-27
54,House,5,1072,174,2021-09-05,2022-10-09
55,New Console,19,1892,380,2021-05-05,2022-08-28
56,New PC,25,1575,348,2022-02-12,2022-12-09
57,Car,13,1202,32,2021-05-26,
58,New PC,24,1870,925,2022-03-30,2022-06-06
59,Diamond,13,1116,485,2021-09-17,2022-11-22
60,Diamond,5,1748,1247,2022-01-18,
61,Disneyland,4,1752,1179,2021-11-25,2022-12-01
62,New Console,13,1962,226,2021-10-28,2023-03-18
63,Move Home,22,1536,515,2021-10-20,2023-02-19
64,Trip,3,1893,1402,2022-03-14,2022-11-13
65,House,10,1259,13,2021-07-17,2022-08-25
66,Trip,8,1937,1583,2021-10-03,2022-06-30
67,Food Trip,19,1554,823,2021-11-11,2022-08-16
68,,20,1412,1346,2021-10-15,2022-06-16
69,Travel,20,1604,786,2021-08-20,
70,Trip,23,1637,19,2022-02-25,2022-12-04
71,New Bike,18,1674,1027,2022-01-20,2023-03-04
72,Travel,18,1446,314,2022-01-15,2022-12-22
73,Travel,21,1480,1126,2021-06-16,2022-11-02
74,Travel,14,1645,185,2021-12-18,2022-08-14
75,New Boat,15,1394,490,2022-02-23,2022-05-19
76,New PC,16,1489,512,2021-06-19,2022-07-05
77,Trip,20,1081,56,2021-09-19,
78,New Console,14,1795,629,2022-04-02,2022-10-19
79,Car,14,1977,877,2021-07-14,2022-05-21
80,New Console,16,1996,424,2022-04-10,2022-12-31
81,Diamond,18,1791,499,2022-01-31,2022-09-07
82,Diamond,20,1134,912,2022-03-01,2022-12-14
83,House,19,1259,29,2021-06-06,2022-08-26
84,Move Home,23,1754,1648,2021-08-08,2023-04-17
85,New Boat,24,1837,422,2021-08-20,2022-08-27
86,Diamond,14,1322,27,2021-12-28,2022-05-27
87,Car,16,1521,94,2022-02-12,2022-07-26
88,Car,9,1784,1399,2022-03-16,2023-02-07
89,House,17,1806,901,2021-07-08,2022-07-16
90,House,1,1262,1099,2021-12-29,2022-08-27
91,Travel,3,1947,185,2021-09-30,2022-08-28
92,Trip,24,1133,765,2021-09-16,2023-02-09
93,New Bike,15,1225,993,2021-11-19,
94,Disneyland,12,1849,54,2021-11-07,2022-09-17
95,New PC,20,1993,1376,2022-03-05,
96,New PC,6,1422,550,2022-02-05,2022-04-19
97,Diamond,9,1566,375,2022-02-05,2022-06-18
98,House,4,1487,133,2021-07-01,2022-12-22
99,House,14,1373,1190,2021-06-22,2022-10-11
100,Move Home,13,1654,900,2021-09-01,2023-01-29
