income_id,income_name,income_amount,wallet_id,income_date
1,,410,62,
2,Bonds,918,48,
3,Home Business,405,79,2023-01-28
4,,1532,34,2022-09-17
5,,1974,39,2022-04-23
6,Side Business,1130,41,2022-05-07
7,,1219,80,
8,,258,3,2023-04-13
9,PayPal,1763,48,
10,,261,33,
11,,1281,26,
12,,1863,8,2023-02-20
13,Side Business,905,71,2022-12-12
14,PayPal,1093,59,2022-08-02
15,,1320,43,2022-12-13
16,,487,46,2022-05-25
17,Inheritance,980,47,2023-01-18
18,Investments,1385,53,2023-01-29
19,,1638,3,2022-10-01
20,Commission,268,75,2022-11-29
21,Bonds,1494,26,
22,Salary,1916,24,2022-10-19
23,eBay,1669,76,
24,Investments,556,34,2023-03-31
25,,219,63,2022-10-15
26,Investments,359,30,
27,Side Business,813,62,2022-04-28
28,Side Business,1034,60,2023-02-05
29,,713,53,2023-03-09
30,Salary,300,11,2022-10-28
31,,1047,6,2022-10-17
32,Salary,1321,30,2022-06-23
33,Income,560,68,2022-11-19
34,Side Business,855,38,
35,Home Business,761,3,2023-04-16
36,Gifts,1611,2,2023-03-18
37,Investments,1209,53,2023-02-10
38,,873,54,2023-04-08
39,Income,1964,55,
40,Income,1017,63,
41,Side Business,1212,38,
42,Investments,1534,37,2023-04-14
43,Investments,1881,77,2023-03-28
44,Commission,880,45,2023-03-25
45,Side Business,1756,66,2023-04-18
46,PayPal,311,38,
47,Investments,1290,12,2023-01-24
48,Cash,1098,6,2023-01-16
49,,869,9,2022-09-15
50,Salary,351,75,2022-09-11
51,Cash,1210,37,2022-04-28
52,Side Business,1806,13,2023-01-15
53,,980,4,2022-07-17
54,,1668,44,2022-06-10
55,Commission,708,21,2023-03-26
56,,830,70,2022-11-25
57,eBay,1414,29,2022-12-02
58,Bank Interest,1741,70,2022-10-01
59,,411,11,2022-08-25
60,Inheritance,323,73,2023-03-24
61,Home Business,1987,71,
62,Inheritance,920,61,2023-01-31
63,,1072,16,2023-03-25
64,Income,1258,16,2022-10-11
65,Commission,1729,70,
66,Cash,1346,19,2022-04-24
67,Cash,694,80,2022-11-21
68,Salary,843,9,2023-02-13
69,,406,45,2022-12-24
70,Side Business,451,34,2023-01-22
71,Bank Interest,286,76,2023-01-19
72,Investments,607,25,2022-07-13
73,Cash,1724,74,2022-08-18
74,,1546,65,
75,Commission,771,10,2022-05-02
76,Inheritance,809,64,2022-09-05
77,,1412,56,2023-03-14
78,Company Cash,1961,3,2022-08-30
79,Bank Interest,1319,25,2022-09-28
80,PayPal,1588,19,
81,Company Cash,864,41,
82,Gifts,638,33,2022-10-29
83,Investments,352,63,2023-03-29
84,Bonds,1381,78,2022-11-23
85,,364,52,
86,,1591,32,
87,Salary,1944,62,2022-11-06
88,Bonds,1306,24,
89,,369,76,2022-12-17
90,Investments,1092,48,
91,Investments,1834,20,
92,,1420,4,2022-06-04
93,PayPal,1381,20,2022-07-24
94,Income,1124,5,2022-10-29
95,,1967,79,2022-08-06
96,Home Business,1903,45,2022-08-19
97,Gifts,1049,53,
98,Income,250,55,2022-09-19
99,Company Cash,797,4,2022-09-22
100,Cash,1752,35,
101,Bonds,598,61,2023-03-08
102,,689,32,2023-02-04
103,Investments,870,73,2023-04-06
104,Inheritance,578,34,
105,Gifts,623,67,
106,Company Cash,1239,27,2023-01-13
107,Income,1068,11,2022-10-13
108,,1765,67,2023-03-25
109,,1414,4,2022-09-25
110,Side Business,434,36,2022-08-23
111,eBay,1721,73,
112,,1697,44,
113,eBay,654,44,2022-11-18
114,Bank Interest,1285,51,2023-04-16
115,Gifts,1740,66,2023-02-15
116,Bonds,626,41,2022-08-25
117,Salary,1963,71,
118,Cash,1048,69,2022-07-09
119,Investments,637,40,2022-08-21
120,Commission,1425,7,
121,Investments,1619,42,
122,,1590,2,2022-07-02
123,,1533,58,2023-03-21
124,Salary,1082,77,2023-02-02
125,Inheritance,1724,54,
126,Bonds,1628,61,2023-01-11
127,,1602,77,2023-04-03
128,,1031,13,2022-06-10
129,Cash,689,25,2022-12-15
130,eBay,1598,61,
131,Gifts,1840,10,2022-05-08
132,Bonds,1159,29,
133,Investments,1375,9,
134,PayPal,964,2,2022-05-23
135,Bank Interest,1832,78,2022-08-15
136,Cash,1653,20,2022-10-07
137,Income,1321,73,
138,Company Cash,839,20,
139,Company Cash,1673,30,
