wallet_id,acc_id,wallet_name,wallet_balance
1,15,Bank of Robberia,154.99
2,6,Cash,287.95
3,1,Secret Cash,526.76
4,11,Bank of Robberia,629.47
5,24,Very Reasonable Bank,956.11
6,12,Bank,24.77
7,25,,397.6
8,16,Very Reasonable Bank,398.74
9,1,Totally Honest Bank,139.75
10,9,,709.23
11,1,Mom's,942.36
12,13,Cash,911.92
13,2,Mom's,595.55
14,21,Payus Bank,787.23
15,4,,921.61
16,25,Payus Bank,900.9
17,15,Mom's,665.53
18,15,Bank of Robberia,347.38
19,21,,728.52
20,4,Bank,937.91
21,5,,759.65
22,6,Mom's,48.58
23,11,,387.24
24,23,Totally Honest Bank,697.34
25,8,Bank,337.69
26,22,Secret Cash,344.58
27,11,Totally Honest Bank,866.37
28,7,Secret Cash,526.79
29,8,Totally Honest Bank,132.32
30,23,Bank,128.75
31,12,Totally Honest Bank,859.59
32,18,Secret Cash,145.35
33,24,Bank of Robberia,707.15
34,14,Very Reasonable Bank,679.81
35,16,Totally Honest Bank,849.55
36,13,Totally Honest Bank,511.48
37,21,,965.05
38,24,Payus Bank,246.36
39,14,,786.13
40,3,Totally Honest Bank,0.53
41,10,,491.38
42,4,Cash,57.9
43,17,,71.1
44,8,Bank of Robberia,871.54
45,21,Secret Cash,988.7
46,20,Mom's,577.44
47,7,Cash,676.61
48,6,Bank,370.58
49,4,Bank,534.21
50,1,Bank of Robberia,907.5
51,12,Bank,23.86
52,3,Bank of Robberia,448.73
53,17,Mom's,933.28
54,24,Cash,519.96
55,5,Bank,19.65
56,4,Secret Cash,67.29
57,23,Payus Bank,876.52
58,23,,691.72
59,18,Totally Honest Bank,108.59
60,12,Bank of Robberia,643.5
61,3,Secret Cash,161.68
62,10,Bank of Robberia,658.78
63,25,Totally Honest Bank,845.41
64,7,Totally Honest Bank,179.07
65,5,Payus Bank,490.4
66,16,Secret Cash,217.6
67,16,,488.01
68,18,Bank,48.44
69,17,Bank,103.07
70,9,Cash,665.96
71,4,Totally Honest Bank,420.25
72,1,,246.96
73,17,Very Reasonable Bank,199.39
74,9,Secret Cash,129.91
75,11,Payus Bank,540.5
76,10,Payus Bank,882.16
77,16,Secret Cash,989.25
78,4,,922.74
79,2,,814.08
80,21,Bank,669.06
