transaction_amount,transaction_id,wallet_id,transaction_detail_id
219.39,1,50,1
56.06,2,36,2
84.84,3,76,3
166.46,3,62,4
51.45,4,47,5
150.3,4,28,6
89.97,5,65,7
109.41,5,55,8
180.97,5,21,9
71.5,6,18,10
99.28,6,17,11
233.07,6,1,12
152.52,7,55,13
121.59,8,48,14
153.99,8,22,15
211.43,8,2,16
225.58,9,18,17
184.6,9,17,18
14.54,9,1,19
194.64,10,46,20
217.58,12,16,21
27.94,12,7,22
55.26,13,39,23
121.75,14,65,24
190.29,15,69,25
90.97,15,53,26
6.08,16,51,27
34.42,16,31,28
79.4,17,75,29
131.58,17,27,30
52.61,17,23,31
119.49,18,42,32
127.86,19,24,33
157.33,20,11,34
35.52,21,26,35
208.98,22,63,36
51.59,22,16,37
92.95,22,7,38
145.37,23,26,39
14.46,24,67,40
209.49,24,66,41
142.4,25,74,42
37.38,25,70,43
211.93,26,50,44
185.32,26,11,45
163.03,27,27,46
158.09,27,4,47
81.1,28,27,48
116.35,29,22,49
25.21,30,29,50
130.57,31,48,51
3.84,32,59,52
58.69,32,32,53
212.17,33,57,54
8.88,33,30,55
223.87,34,64,56
128.9,35,46,57
3.8,36,67,58
10.35,36,35,59
65.79,36,8,60
108.99,37,30,61
103.78,37,24,62
192.53,38,44,63
72.73,38,29,64
160.52,38,25,65
237.12,38,60,66
97.95,39,60,67
86.29,39,51,68
26.91,39,31,69
94.24,39,6,70
130.97,40,69,71
63.55,41,29,72
211.85,41,25,73
178.58,42,27,74
159.92,43,79,75
162.47,44,22,76
67.83,45,25,77
229.53,46,26,78
45.92,47,26,79
210.69,48,48,80
63.7,48,22,81
186.32,48,2,82
148.18,49,71,83
64,49,56,84
245.66,49,49,85
55.29,49,42,86
190.05,50,65,87
150.05,50,55,88
44.49,50,21,89
217.3,51,29,90
37.29,51,25,91
101.79,52,81,92
77.71,53,32,93
117.43,54,48,94
74.32,54,2,95
38.17,54,22,96
108.62,55,39,97
105.92,55,34,98
145.89,56,8,99
21.5,56,66,100
123.35,57,63,101
98.82,57,16,102
113.86,57,7,103
211.35,58,65,104
213.46,59,1,105
205.24,60,72,106
79.17,60,3,107
0.37,60,9,108
65.31,61,81,109
9.39,62,26,110
239.26,63,48,111
225.75,63,2,112
226.53,63,22,113
218.7,64,10,114
100.48,64,70,115
93.13,64,74,116
30.91,65,31,117
47.73,65,60,118
16.62,65,6,119
41.04,66,75,120
102.14,67,44,121
111.34,68,26,122
103.01,69,38,123
98.85,69,54,124
91.69,69,33,125
207.98,69,5,126
210.69,70,71,127
74.76,70,49,128
219.06,71,2,129
16.35,71,22,130
166.08,72,77,131
248.82,73,37,132
93.28,74,26,133
185.82,75,18,134
13.52,75,1,135
86.17,75,17,136
159.57,76,40,137
175.1,76,61,138
98.35,76,52,139
235.42,77,77,140
193.56,77,8,141
92.04,77,66,142
239.79,78,54,143
126.12,78,33,144
163.89,78,5,145
196.54,79,47,146
57.03,79,64,147
97.45,79,28,148
227.11,80,67,149
184.74,80,77,150
70.36,81,63,151
3.13,81,16,152
196.87,81,7,153
210.58,82,79,154
98.58,83,47,155
186.82,83,64,156
217.62,84,46,157
19.79,85,35,158
86.23,85,77,159
182.96,85,8,160
109.82,86,62,161
137.14,87,39,162
123.11,87,34,163
8.99,88,73,164
67.11,88,69,165
124.16,88,43,166
30.93,88,53,167
26.21,89,65,168
235.84,89,55,169
214.36,89,21,170
94.17,90,40,171
123.24,90,61,172
48.13,90,52,173
9.82,91,57,174
69.02,91,24,175
62.32,92,2,176
140.92,93,48,177
222.97,93,22,178
3.47,94,48,179
33.48,94,2,180
62.46,94,22,181
26.29,95,48,182
82.35,95,2,183
137.96,96,39,184
47.75,96,34,185
157.64,97,64,186
72.31,97,28,187
64.9,98,65,188
166.39,98,55,189
98.26,98,21,190
85.11,99,26,191
172.86,100,25,192
181.52,101,81,193
115.62,102,70,194
3.4,102,74,195
28.56,103,25,196
51.83,104,31,197
238.66,104,6,198
6.9,105,2,199
52.78,106,65,200
104.57,106,55,201
67.6,107,49,202
179.03,107,56,203
72.43,108,8,204
30.62,109,35,205
86.31,109,77,206
15.07,110,57,207
240.42,110,24,208
155.57,110,58,209
213.02,111,39,210
4.74,111,34,211
36.84,112,48,212
64.41,112,2,213
71.11,112,22,214
32.88,113,26,215
16.39,114,73,216
160.34,114,69,217
235.35,114,43,218
145.94,114,53,219
96.34,115,26,220
198.78,116,10,221
127.49,116,70,222
150.31,116,74,223
248.94,117,35,224
121.95,117,8,225
38.53,118,30,226
148.1,118,57,227
106.48,118,58,228
28.22,119,26,229
85.74,120,44,230
91.45,120,29,231
112.7,120,25,232
20.14,121,25,233
193.39,122,39,234
76.55,122,34,235
103.39,123,43,236
153.34,123,53,237
93.27,124,44,238
35.61,124,29,239
122.74,124,25,240
31.1,125,10,241
4.98,125,70,242
109.18,125,74,243
194.72,126,40,244
95.93,126,61,245
234.96,126,52,246
66.39,127,77,247
85.66,128,48,248
118.43,128,22,249
116.18,129,11,250
42.8,129,72,251
68.6,130,75,252
56.15,130,27,253
24.8,131,61,254
246.85,131,52,255
128.33,132,26,256
43.45,133,68,257
215.5,133,59,258
156.78,134,10,259
56.45,134,74,260
147.07,135,68,261
30.95,136,26,262
52.68,137,29,263
249.09,138,23,264
82.34,138,27,265
84.59,139,32,266
242.26,139,59,267
13.19,140,79,268
125.15,140,13,269
229.51,141,6,270
115.13,142,31,271
171.8,142,60,272
207.71,142,6,273
227.65,143,3,274
230.98,143,9,275
67.75,143,50,276
77.66,144,43,277
89.1,145,15,278
54.2,146,26,279
239.96,147,26,280
180.88,148,46,281
153.65,149,26,282
19.37,150,63,283
88.21,150,7,284
111.81,151,33,285
152.21,152,61,286
76.43,152,52,287
161.36,153,55,288
138.64,153,21,289
153.74,154,26,290
115.75,155,48,291
5.14,155,2,292
110.73,156,14,293
152.82,156,19,294
241.53,156,45,295
221.66,156,37,296
244.8,157,46,297
145.5,158,26,298
182.56,159,46,299
88.38,160,78,300
133.65,160,42,301
9.06,160,71,302
34.36,160,49,303
89.69,161,70,304
246.1,162,48,305
161.92,162,2,306
51.16,163,77,307
107.55,163,66,308
192.59,164,14,309
21.79,164,45,310
9.97,165,51,311
26.67,165,31,312
63.85,165,60,313
163.65,165,6,314
177.29,166,10,315
20.11,166,70,316
81.24,166,74,317
84.61,167,26,318
13.09,168,29,319
15.21,169,57,320
77.94,169,24,321
52.82,169,58,322
227.29,170,46,323
14.73,171,51,324
223.82,171,31,325
142.81,171,60,326
230.34,171,6,327
96.36,172,18,328
105.53,172,1,329
113.78,172,17,330
10.09,173,81,331
110.98,174,47,332
74.77,175,30,333
209.94,175,24,334
53.9,176,3,335
240.74,176,9,336
95.69,176,50,337
107.93,177,8,338
225.88,177,66,339
16.29,178,13,340
85.21,179,6,341
115.83,180,64,342
83.48,180,28,343
215.89,181,39,344
1.14,181,34,345
56.9,182,79,346
100.81,182,13,347
79.07,183,67,348
17.77,183,77,349
9.36,184,44,350
226.91,184,29,351
113.01,184,25,352
19.84,185,41,353
111.7,186,65,354
224.17,186,55,355
164.41,186,21,356
152.88,187,1,357
26.52,188,31,358
163.62,188,60,359
96.62,188,6,360
163.51,189,26,361
90.24,190,4,362
108.69,190,23,363
9.12,190,75,364
188.99,190,27,365
89.86,191,10,366
202.15,191,70,367
104.96,192,81,368
157.62,193,47,369
239.4,193,64,370
200.48,193,28,371
65.4,194,39,372
94.41,194,34,373
201.66,195,81,374
39.3,196,42,375
230.02,196,71,376
106.63,196,49,377
224.07,196,15,378
225.61,197,25,379
192.69,198,78,380
152.76,198,42,381
11.91,198,71,382
232.2,199,26,383
181.1,200,65,384
121.06,200,55,385
13.31,200,21,386
