transaction_amount,transaction_id,wallet_id
$219.39,1,50
$56.06,2,36
$84.84,3,76
$166.46,3,62
$51.45,4,47
$150.30,4,28
$89.97,5,65
$109.41,5,55
$180.97,5,21
$71.50,6,18
$99.28,6,17
$233.07,6,1
$152.52,7,55
$121.59,8,48
$153.99,8,22
$211.43,8,2
$225.58,9,18
$184.60,9,17
$14.54,9,1
$194.64,10,46
$217.58,12,16
$27.94,12,7
$55.26,13,39
$121.75,14,65
$190.29,15,69
$90.97,15,53
$6.08,16,51
$34.42,16,31
$79.40,17,75
$131.58,17,27
$52.61,17,23
$119.49,18,42
$127.86,19,24
$157.33,20,11
$35.52,21,26
$208.98,22,63
$51.59,22,16
$92.95,22,7
$145.37,23,26
$14.46,24,67
$209.49,24,66
$142.40,25,74
$37.38,25,70
$211.93,26,50
$185.32,26,11
$163.03,27,27
$158.09,27,4
$81.10,28,27
$116.35,29,22
$25.21,30,29
$130.57,31,48
$3.84,32,59
$58.69,32,32
$212.17,33,57
$8.88,33,30
$223.87,34,64
$128.90,35,46
$3.80,36,67
$10.35,36,35
$65.79,36,8
$108.99,37,30
$103.78,37,24
$192.53,38,44
$72.73,38,29
$160.52,38,25
$237.12,38,60
$97.95,39,60
$86.29,39,51
$26.91,39,31
$94.24,39,6
$130.97,40,69
$63.55,41,29
$211.85,41,25
$178.58,42,27
$159.92,43,79
$162.47,44,22
$67.83,45,25
$229.53,46,26
$45.92,47,26
$210.69,48,48
$63.70,48,22
$186.32,48,2
$148.18,49,71
$64.00,49,56
$245.66,49,49
$55.29,49,42
$190.05,50,65
$150.05,50,55
$44.49,50,21
$217.30,51,29
$37.29,51,25
$101.79,52,81
$77.71,53,32
$117.43,54,48
$74.32,54,2
$38.17,54,22
$108.62,55,39
$105.92,55,34
$145.89,56,8
$21.50,56,66
$123.35,57,63
$98.82,57,16
$113.86,57,7
$211.35,58,65
$213.46,59,1
$205.24,60,72
$79.17,60,3
$0.37,60,9
$65.31,61,81
$9.39,62,26
$239.26,63,48
$225.75,63,2
$226.53,63,22
$218.70,64,10
$100.48,64,70
$93.13,64,74
$30.91,65,31
$47.73,65,60
$16.62,65,6
$41.04,66,75
$102.14,67,44
$111.34,68,26
$103.01,69,38
$98.85,69,54
$91.69,69,33
$207.98,69,5
$210.69,70,71
$74.76,70,49
$219.06,71,2
$16.35,71,22
$166.08,72,77
$248.82,73,37
$93.28,74,26
$185.82,75,18
$13.52,75,1
$86.17,75,17
$159.57,76,40
$175.10,76,61
$98.35,76,52
$235.42,77,77
$193.56,77,8
$92.04,77,66
$239.79,78,54
$126.12,78,33
$163.89,78,5
$196.54,79,47
$57.03,79,64
$97.45,79,28
$227.11,80,67
$184.74,80,77
$70.36,81,63
$3.13,81,16
$196.87,81,7
$210.58,82,79
$98.58,83,47
$186.82,83,64
$217.62,84,46
$19.79,85,35
$86.23,85,77
$182.96,85,8
$109.82,86,62
$137.14,87,39
$123.11,87,34
$8.99,88,73
$67.11,88,69
$124.16,88,43
$30.93,88,53
$26.21,89,65
$235.84,89,55
$214.36,89,21
$94.17,90,40
$123.24,90,61
$48.13,90,52
$9.82,91,57
$69.02,91,24
$62.32,92,2
$140.92,93,48
$222.97,93,22
$3.47,94,48
$33.48,94,2
$62.46,94,22
$26.29,95,48
$82.35,95,2
$137.96,96,39
$47.75,96,34
$157.64,97,64
$72.31,97,28
$64.90,98,65
$166.39,98,55
$98.26,98,21
$85.11,99,26
$172.86,100,25
$181.52,101,81
$115.62,102,70
$3.40,102,74
$28.56,103,25
$51.83,104,31
$238.66,104,6
$6.90,105,2
$52.78,106,65
$104.57,106,55
$67.60,107,49
$179.03,107,56
$72.43,108,8
$30.62,109,35
$86.31,109,77
$15.07,110,57
$240.42,110,24
$155.57,110,58
$213.02,111,39
$4.74,111,34
$36.84,112,48
$64.41,112,2
$71.11,112,22
$32.88,113,26
$16.39,114,73
$160.34,114,69
$235.35,114,43
$145.94,114,53
$96.34,115,26
$198.78,116,10
$127.49,116,70
$150.31,116,74
$248.94,117,35
$121.95,117,8
$38.53,118,30
$148.10,118,57
$106.48,118,58
$28.22,119,26
$85.74,120,44
$91.45,120,29
$112.70,120,25
$20.14,121,25
$193.39,122,39
$76.55,122,34
$103.39,123,43
$153.34,123,53
$93.27,124,44
$35.61,124,29
$122.74,124,25
